
0it [00:00, ?it/s]
3it [00:00, 26.03it/s]
7it [00:00, 29.63it/s]
12it [00:00, 35.16it/s]
17it [00:00, 37.69it/s]
22it [00:00, 39.03it/s]
26it [00:00, 39.08it/s]
31it [00:00, 40.02it/s]
36it [00:00, 40.58it/s]
41it [00:01, 41.21it/s]
46it [00:01, 42.81it/s]
51it [00:01, 36.08it/s]
55it [00:01, 24.14it/s]
60it [00:01, 27.88it/s]
64it [00:01, 30.24it/s]
68it [00:02, 28.97it/s]
73it [00:02, 32.03it/s]
78it [00:02, 35.57it/s]
83it [00:02, 37.22it/s]
88it [00:02, 37.96it/s]
92it [00:02, 37.08it/s]
97it [00:02, 38.13it/s]
104it [00:02, 46.23it/s]
109it [00:02, 47.15it/s]
114it [00:03, 47.79it/s]
119it [00:03, 45.16it/s]
124it [00:03, 43.71it/s]
129it [00:03, 42.84it/s]
135it [00:03, 45.24it/s]
140it [00:03, 41.97it/s]
145it [00:03, 38.93it/s]
150it [00:03, 39.58it/s]
155it [00:04, 31.39it/s]
159it [00:04, 33.12it/s]
163it [00:04, 34.66it/s]
167it [00:04, 35.05it/s]
171it [00:04, 34.86it/s]
175it [00:04, 35.18it/s]
180it [00:04, 36.80it/s]
184it [00:04, 37.64it/s]
189it [00:05, 40.74it/s]
194it [00:05, 43.01it/s]
199it [00:05, 41.34it/s]
204it [00:05, 42.62it/s]
210it [00:05, 44.48it/s]
215it [00:05, 43.68it/s]
220it [00:05, 43.61it/s]
225it [00:05, 43.40it/s]
231it [00:06, 45.32it/s]
236it [00:06, 43.48it/s]
241it [00:06, 42.75it/s]
246it [00:06, 42.23it/s]
251it [00:06, 41.69it/s]
256it [00:06, 41.35it/s]
261it [00:06, 40.88it/s]
266it [00:06, 40.40it/s]
271it [00:06, 42.78it/s]
276it [00:07, 41.78it/s]
281it [00:07, 41.12it/s]
286it [00:07, 40.52it/s]
291it [00:07, 40.11it/s]
296it [00:07, 39.58it/s]
301it [00:07, 41.29it/s]
306it [00:07, 43.23it/s]
311it [00:07, 40.98it/s]
316it [00:08, 39.48it/s]
320it [00:08, 39.32it/s]
324it [00:08, 39.35it/s]
329it [00:08, 42.04it/s]
334it [00:08, 41.49it/s]
339it [00:08, 41.45it/s]
344it [00:08, 40.34it/s]
349it [00:08, 38.41it/s]
354it [00:09, 39.42it/s]
358it [00:09, 38.26it/s]
362it [00:09, 37.91it/s]
366it [00:09, 37.12it/s]
370it [00:09, 37.36it/s]
375it [00:09, 39.28it/s]
379it [00:09, 37.47it/s]
383it [00:09, 36.96it/s]
387it [00:09, 35.44it/s]
391it [00:10, 34.86it/s]
395it [00:10, 34.65it/s]
399it [00:10, 33.79it/s]
403it [00:10, 34.97it/s]
407it [00:10, 35.43it/s]
411it [00:10, 36.05it/s]
416it [00:10, 37.51it/s]
420it [00:10, 37.36it/s]
424it [00:10, 37.01it/s]
428it [00:11, 36.63it/s]
432it [00:11, 35.57it/s]
436it [00:11, 35.86it/s]
440it [00:11, 36.52it/s]
444it [00:11, 36.09it/s]
448it [00:11, 36.90it/s]
452it [00:11, 36.35it/s]
456it [00:11, 35.13it/s]
460it [00:11, 35.82it/s]
465it [00:12, 38.33it/s]
469it [00:12, 37.92it/s]
475it [00:12, 41.64it/s]
480it [00:12, 42.75it/s]
485it [00:12, 41.49it/s]
490it [00:12, 40.38it/s]
495it [00:12, 40.29it/s]
500it [00:12, 40.57it/s]
505it [00:13, 40.77it/s]
510it [00:13, 40.67it/s]
517it [00:13, 45.86it/s]
522it [00:13, 44.22it/s]
527it [00:13, 43.63it/s]
533it [00:13, 45.51it/s]
538it [00:13, 44.39it/s]
543it [00:13, 41.03it/s]
548it [00:14, 40.56it/s]
553it [00:14, 40.18it/s]
559it [00:14, 42.60it/s]
564it [00:14, 41.97it/s]
569it [00:14, 43.87it/s]
574it [00:14, 41.55it/s]
579it [00:14, 39.13it/s]
583it [00:14, 38.32it/s]
590it [00:15, 43.79it/s]
596it [00:15, 47.90it/s]
601it [00:15, 48.21it/s]
606it [00:15, 44.03it/s]
611it [00:15, 41.14it/s]
616it [00:15, 42.37it/s]
621it [00:15, 41.35it/s]
626it [00:15, 41.48it/s]
631it [00:16, 43.47it/s]
636it [00:16, 41.50it/s]
641it [00:16, 42.12it/s]
646it [00:16, 38.84it/s]
650it [00:16, 37.78it/s]
654it [00:16, 37.50it/s]
658it [00:16, 37.09it/s]
661it [00:16, 39.29it/s]
