,id,course_id,type,exam,prompt,testcase,max_score,input_str,input_cast,output,assignment,conditional,function_call,function_def,function_return,loop_counting,loop_until,loop_elements,loop_nested,stat_calculate,file_read,file_write,list,list_2d,dictionary,item_set,tuple,skeleton
0,a3_3_animals,2,skill,1,"<div>
<p>&nbsp;</p>
<p><strong>PROBLEM STATEMENT:<br /></strong>You have been provided with a list called&nbsp;<code>list_of_animals</code>. Write a program that prints out each of the items in this list (one item per line). </p>
<p>&nbsp;</p>
<p><strong>EXAMPLE:<br /></strong>If, for example, the list contained the items: ""A"", ""B"", ""C""</p>
<p>Your program should print:</p>
<pre>A<br />B<br />C</pre>
<p>&nbsp;</p>
<p><strong>NOTE:</strong></p>
<ul>
<li>You must use a loop to complete this task. </li>
</ul>
<p>&nbsp;</p>
</div>
","from cs110 import autograder
import random, math

list_of_animals = ['Tiger', 'Deer', 'Zebra', 'Elephant', 'Swordfish', 'Giraffe', 'Sloth']

def solution():
    result = []
    
    for item in list_of_animals:
        result.append(item)
    
    return result
             

# Runs the Python script and sees if it passes the test(s)
def test_passed():
    output, error = autograder.run_script(""a3_3_animals.py"", [])
    expected_output = solution()
    num_matches = autograder.compare_strings(output.strip().split('\n'), expected_output)
    
    return round(100 / len(expected_output) * num_matches, 1)
    
    

# ---------------------------------------------------------------------
# Optional
# Runs your code in an IDE (for testing purposes)
# ---------------------------------------------------------------------
if __name__ == '__main__':    
    result = test_passed()
    print(""Unit Test Returned:"", result)",100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"# AUTOGRADER IMPORT REMOVED

# --------------------------------------------------------------
# Assessment #3, Problem 3
# --------------------------------------------------------------

# This list is being provided to you.  DO NOT TOUCH!
list_of_animals = ['Tiger', 'Deer', 'Zebra', 'Elephant', 'Swordfish', 'Giraffe', 'Sloth']

#Your code goes here."
1,a3_1_cargo,2,skill,1,"<div>
<p>&nbsp;</p>
<p><strong>PROBLEM STATEMENT:<br /></strong></p>
<p>You have been provided with a list called&nbsp;<code>list_of_cargo_planes</code>. Write a program that prints a single, specified plane from the list. Your program shall take a number via user input used to identify which plane to print. For example, if the user types a 3, you should print out the third item.</p>
<p>&nbsp;</p>
<p><strong>NOTE:</strong></p>
<ul>
<li>You may assume that the user will always enter a value that ""should"" exist within the list (e.g., the user will not enter 100 when the list only contains 5 elements)</li>
</ul>
<p>&nbsp;</p>
</div>

","from cs110 import autograder
import random, math

soln_list =  [
                'C-2', 'C-5', 'C-9', 'C-12', 'C-17', 'UV-18', 'C-20', 'C-21', 'C-22', 'C-23', 'C-26', 'C-27',
                'C-35', 'C-38', 'CT-39', 'C-40', 'C-130', 'C-135', 'C-141', 'ATT', 'CSA', 'NSA', 'GRA', 'CRAF'
            ] 
             

# Runs the Python script and sees if it passes the test(s)
def test_passed():
    
    index_list = [1, random.randint(2, len(soln_list)-2), len(soln_list)]
    tests_passed = 0

    for i in range(len(index_list)):
        print(""----------------------------------------------------------"")
        print(""Testing item #"" + str(index_list[i]) + "": "")
        print(""----------------------------------------------------------"")
               
        # Runs the Script
        output, error_message = autograder.run_script(""a3_1_cargo.py"", [index_list[i]])

        # Test Goes Here
        lines = output.split(""\n"")
        
        if lines[0] == soln_list[index_list[i]-1]:
            print(""Looks Good!"")
            tests_passed += 1
        elif error_message == '' and lines[0] != soln_list[index_list[i]-1]:
            print(""Unexpected Output (Expected "" + str(soln_list[index_list[i]-1]) + "")"")
    
        print()
    
    return (100 / len(index_list)) * tests_passed


# ---------------------------------------------------------------------
# Optional
# Runs your code in an IDE (for testing purposes)
# ---------------------------------------------------------------------
if __name__ == '__main__':    
    result = test_passed()
    print(""Unit Test Returned:"", result)",100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2,a3_3_games,2,skill,1,"<div>
<p>&nbsp;</p>
<p><strong>PROBLEM STATEMENT:<br /></strong>You have been provided with a list called&nbsp;<code>list_of_games</code>. Write a program that prints out each of the items in this list (one item per line). </p>
<p>&nbsp;</p>
<p><strong>EXAMPLE:<br /></strong>If, for example, the list contained the items: ""A"", ""B"", ""C""</p>
<p>Your program should print:</p>
<pre>A<br />B<br />C</pre>
<p>&nbsp;</p>
<p><strong>NOTE:</strong></p>
<ul>
<li>You must use a loop to complete this task. </li>
</ul>
<p>&nbsp;</p>
</div>
","from cs110 import autograder
import random, math

list_of_games = ['Monopoly', 'Risk', 'Clue', 'Chess', 'Operation', 'Jenga', 'Jumanji']

def solution():
    result = []
    
    for item in list_of_games:
        result.append(item)
    
    return result
             

# Runs the Python script and sees if it passes the test(s)
def test_passed():
    output, error = autograder.run_script(""a3_3_games.py"", [])
    expected_output = solution()
    num_matches = autograder.compare_strings(output.strip().split('\n'), expected_output)
    
    return round(100 / len(expected_output) * num_matches, 1)
    
    

# ---------------------------------------------------------------------
# Optional
# Runs your code in an IDE (for testing purposes)
# ---------------------------------------------------------------------
if __name__ == '__main__':    
    result = test_passed()
    print(""Unit Test Returned:"", result)",100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"# AUTOGRADER IMPORT REMOVED

# --------------------------------------------------------------
# Assessment #3, Problem 3
# --------------------------------------------------------------

# This list is being provided to you.  DO NOT TOUCH!
list_of_games = ['Monopoly', 'Risk', 'Clue', 'Chess', 'Operation', 'Jenga', 'Jumanji']

#Your code goes here."
3,a3_4_heights,2,skill,1,"<div>
<p>&nbsp;</p>
<p><strong>PROBLEM STATEMENT:<br /></strong>You have been provided with a list called list_of_heights. Write a program that prints out the range (<em>i.e.,&nbsp;</em>the difference between the max and min height)</p>
<p>&nbsp;</p>
<p><strong>EXAMPLE:<br /></strong>If, for example, the list contained the values: 53, 60, 65</p>
<p>Your program should print:</p>
<pre>12</pre>
<p>&nbsp;</p>
<p>&nbsp;</p>
</div>
","from cs110 import autograder
import random, math

STUDENT_FILE = ""a3_4_heights.py""

list_of_heights = [74, 75, 63, 59, 81, 76, 79, 61, 58, 70,
                   61, 53, 82, 67, 73, 50, 59, 73, 57, 75,
                   78, 64, 69, 57, 79, 74, 48, 51, 48, 64]

max_value = max(list_of_heights) 
min_value = min(list_of_heights)

def verify_code():
    print(""Test 1:  Scanning your solution . . . "", end='')
    
    file = open(STUDENT_FILE, ""r"")
    contents = file.read()
        
    if ""for"" not in contents and ""while"" not in contents and ""max"" not in contents and ""min"" not in contents and ""sort"" not in contents:
        print(""Could not find code that gets the tallest and shortest heights . . ."")
        return False
    
    print(""Good. You are actually computing the answer."")
    return True



# Runs the Python script and sees if it passes the test(s)
def test_passed():
    
    output, error = autograder.run_script(STUDENT_FILE, [])
    lines = output.strip().split('\n')
    score = 0
    
    if verify_code():
        print(""Test 2:  Checking Output . . . "", end='')
        score += 60
        
        if len(lines) >= 1:           
            if autograder.equals(lines[0], max_value - min_value):
                print(""Range Look Good!"")
                score += 40
            else:
                print(""Incorrect range.  Remember that the range is the difference between the max and the min"")
                
        else:
            print(""More lines expected in your answer.  Make sure you are printing out the range."")
    
    return score

# ---------------------------------------------------------------------
# Optional
# Runs your code in an IDE (for testing purposes)
# ---------------------------------------------------------------------
if __name__ == '__main__':    
    result = test_passed()
    print(""Unit Test Returned:"", result)",100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,pex3,2,project,0,"<div>
    <h2 style=""text-align: center;"">Comp Sci 110 Spring 2021 Programming Exercise (PEX 3)</h2>
    <p>Objective:  Create a simple mars rover graphical simulation, complete with basic AI algorithms.</p>
    <p>Instructions: Read writeup (pex3-writeup.pdf) and use the template file to begin work.</p>
    <br>
</div>","from cs110 import autograder
import random, math, py_compile

# Runs the Python script and sees if it passes the test(s)
def test_passed():
    try:
        print(""----------------------------------------------------------------------"")
        print(""*** To Actually See Your Graphics, Rerun this Program and Type 'N' ***"")
        print(""----------------------------------------------------------------------\n"")
        print(""Thank you for your submission. Your instructor will manually grade your scene."")
        print(""Remember to try your program against both the 5x5 and 10x10 mars_map's."")
        return 0.0
    except:
        print(""There appears to be a syntax error in your code."")
        return 0.0
    
        
# Runs your code in an IDE (for testing purposes)
if __name__ == '__main__':    
    result = test_passed()
    print(""Unit Test Returned:"", result)


# --------------------------------------------------
# Downloaded from https://www.autograder.net
# --------------------------------------------------",0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,
5,pex1,2,project,0,"<div>
    <h2 style=""text-align: center;"">Comp Sci 110 Spring 2021 Programming Exercise (PEX 1)</h2>
    <p>Objective:  Create a retirement calculation tool to compare the difference between the traditional and blended military retirement systems.</p>
    <p>Instructions: Read writeup (pex1-writeup.pdf) and use the template file to begin work.</p>
    <br>
</div>","from cs110 import autograder
from itertools import permutations

import sys
import subprocess
import random

# ---------------------------------------------------------------------
# PEX1 Unit Test
# ---------------------------------------------------------------------
#list of dictionaries corresponding to the tests contained in test tuples
answers = [
    {
     '00 Enter your age upon commissioning:':"""",
     '01 Enter the number of years you expect to serve:':"""",
     '02 Enter your life expectancy (age):':"""",
     '03 Enter percentage of base pay contributed to TSP (as decimal):':"""",
     '04 Enter estimated annual return interest rate (as decimal):':"""",
     '05 Total paid months in retirement:':444,
     '06 TSP government contribution percent for BRS:':0.05,
     '07 TSP value at retirement for BRS plan:':605892.71,
     '08 TSP value after growth throughout retirement for BRS plan:':5547881.1,
     '09 TSP value at retirement for Legacy plan:':454419.53,
     '10 TSP value after growth throughout retirement for Legacy plan:':4160910.83,
     '11 BRS Retirement Totals':"""",
     '12 TSP Savings Total:':5547881.1,
     '13 Fed Pension Annuity Total:':1692528.0,
     '14 Total Retirement:':7240409.1,
     '15 Legacy Retirement Totals':"""",
     '16 TSP Savings Total:':4160910.83,
     '17 Fed Pension Annuity Total:':2115660.0,
     '18 Total Retirement:':6276570.83,
     '19 BRS Retirement Total greater by' : 963838.28
    },
    # 2nd output
    {
     '00 Enter your age upon commissioning:':"""",
     '01 Enter the number of years you expect to serve:':"""",
     '02 Enter your life expectancy (age):':"""",
     '03 Enter percentage of base pay contributed to TSP (as decimal):':"""",
     '04 Enter estimated annual return interest rate (as decimal):':"""",
     '05 Total paid months in retirement:':444,
     '06 TSP government contribution percent for BRS:':0.02,
     '07 TSP value at retirement for BRS plan:':90883.91,
     '08 TSP value after growth throughout retirement for BRS plan:':832182.17,
     '09 TSP value at retirement for Legacy plan:':30294.64,
     '10 TSP value after growth throughout retirement for Legacy plan:':277394.06,
     '11 BRS Retirement Totals':"""",
     '12 TSP Savings Total:':832182.17,
     '13 Fed Pension Annuity Total:':1692528.0,
     '14 Total Retirement:':2524710.17,
     '15 Legacy Retirement Totals':"""",
     '16 TSP Savings Total:':277394.06,
     '17 Fed Pension Annuity Total:':2115660.0,
     '18 Total Retirement:':2393054.06,
     '19 BRS Retirement Total greater by':131656.11
    },
    # 3rd output
    {
     '00 Enter your age upon commissioning:':"""",
     '01 Enter the number of years you expect to serve:':"""",
     '02 Enter your life expectancy (age):':"""",
     '03 Enter percentage of base pay contributed to TSP (as decimal):':"""",
     '04 Enter estimated annual return interest rate (as decimal):':"""",
     '05 Total paid months in retirement:': 288,
     '06 TSP government contribution percent for BRS:': 0.02,
     '07 TSP value at retirement for BRS plan:':117137.36,
     '08 TSP value after growth throughout retirement for BRS plan:':387941.34,
     '09 TSP value at retirement for Legacy plan:':39045.79,
     '10 TSP value after growth throughout retirement for Legacy plan:':129313.78,
     '11 BRS Retirement Totals':"""",
     '12 TSP Savings Total:':387941.34,
     '13 Fed Pension Annuity Total:':1372320.0,
     '14 Total Retirement:':1760261.34,
     '15 Legacy Retirement Totals':"""",
     '16 TSP Savings Total:':129313.78,
     '17 Fed Pension Annuity Total:':1715400.0,
     '18 Total Retirement:':1844713.78,
     '19 Legacy Retirement Total greater by' :84452.44
    },
    #4th test case
    {'00 Enter your age upon commissioning:': '',
     '01 Enter the number of years you expect to serve:': '',
     '02 Enter your life expectancy (age):': '',
     '03 Enter percentage of base pay contributed to TSP (as decimal):': '',
     '04 Enter estimated annual return interest rate (as decimal):': '',
     '05 Total paid months in retirement:': 204.0,
     '06 TSP government contribution percent for BRS:': 0.03,
     '07 TSP value at retirement for BRS plan:': 120241.56,
     '08 TSP value after growth throughout retirement for BRS plan:': 237073.9,
     '09 TSP value at retirement for Legacy plan:': 48096.62,
     '10 TSP value after growth throughout retirement for Legacy plan:': 94829.56,
     '11 BRS Retirement Totals': '',
     '12 TSP Savings Total:': 237073.9,
     '13 Fed Pension Annuity Total:': 777648.0,
     '14 Total Retirement:': 1014721.9,
     '15 Legacy Retirement Totals': '',
     '16 TSP Savings Total:': 94829.56,
     '17 Fed Pension Annuity Total:': 972060.0,
     '18 Total Retirement:': 1066889.56,
     '19 Legacy Retirement Total greater by': 52167.66
     },
    #5th test case
    {
     '00 Enter your age upon commissioning:': '',
     '01 Enter the number of years you expect to serve:': '',
     '02 Enter your life expectancy (age):': '',
     '03 Enter percentage of base pay contributed to TSP (as decimal):': '',
     '04 Enter estimated annual return interest rate (as decimal):': '',
     '05 Total paid months in retirement:': 540.0,
     '06 TSP government contribution percent for BRS:': 0.02,
     '07 TSP value at retirement for BRS plan:': 52576.0,
     '08 TSP value after growth throughout retirement for BRS plan:': 496500.89,
     '09 TSP value at retirement for Legacy plan:': 17525.33,
     '10 TSP value after growth throughout retirement for Legacy plan:': 165500.3,
     '11 BRS Retirement Totals': '',
     '12 TSP Savings Total:': 496500.89,
     '13 Fed Pension Annuity Total:': 1543860.0,
     '14 Total Retirement:': 2040360.89,
     '15 Legacy Retirement Totals': '',
     '16 TSP Savings Total:': 165500.3,
     '17 Fed Pension Annuity Total:': 1929825.0,
     '18 Total Retirement:': 2095325.3,
     '19 Legacy Retirement Total greater by': 54964.41
    },
    #6th test case
    {'00 Enter your age upon commissioning:': '',
     '01 Enter the number of years you expect to serve:': '',
     '02 Enter your life expectancy (age):': '',
     '03 Enter percentage of base pay contributed to TSP (as decimal):': '',
     '04 Enter estimated annual return interest rate (as decimal):': '',
     '05 Total paid months in retirement:': 216.0,
     '06 TSP government contribution percent for BRS:': 0.05,
     '07 TSP value at retirement for BRS plan:': 206924.5,
     '08 TSP value after growth throughout retirement for BRS plan:': 424603.87,
     '09 TSP value at retirement for Legacy plan:': 103462.25,
     '10 TSP value after growth throughout retirement for Legacy plan:': 212301.93,
     '11 BRS Retirement Totals': '',
     '12 TSP Savings Total:': 424603.87,
     '13 Fed Pension Annuity Total:': 741052.8,
     '14 Total Retirement:': 1165656.67,
     '15 Legacy Retirement Totals': '',
     '16 TSP Savings Total:': 212301.93,
     '17 Fed Pension Annuity Total:': 926316.0,
     '18 Total Retirement:': 1138617.93,
     '19 BRS Retirement Total greater by': 27038.73
     }
    
]

#helper function to check for numbers
def has_number(_str):
    return any((x.isdigit() for x in _str))

#takes a student output and returns a dictionary
def parse_student_output(_list):
    ret_dict = {}
    sort_str = """"
    counter = 0
    for line_num, line in enumerate(_list):
        #make a unique key for the start of every line
        sort_str = ""{} "".format(line_num-counter)
        if line_num-counter < 10:
            sort_str = ""0""+sort_str
        #ignore blank lines
        if line.strip() == """":
            counter+=1
        # If there is a number in the line it
        # is either a line with a dollar amount or
        # one of the calculated inputs
        elif has_number(line):
            if ""$"" in line:
                _spl = line.split(""$"")
                try:
                    val = float(_spl[1].strip())
                except:
                    val = _spl[1].strip() + "" Could not be converted to float""
                ret_dict[sort_str+_spl[0].strip()] = val
            # One of the calculated inputs
            else:
                if ""greater by"" in line and ""$"" not in line:
                    val = ""Error (Missing a '$' )""
                    ret_dict[sort_str+line.strip()] = val
                # catches if a student simply prints out a number
                # which is incorrect
                else:
                    try:
                        idx = line.index("":"")+1
                        val = float(line[idx:].strip())
                        ret_dict[sort_str+line[:idx].strip()] = val
                    #Catches if a student forgot a : a $ or has something that cannot be converted to a float
                    except:
                        val = ""Error (Missing a ':' or '$' or Could not Convert to Float)""
                        ret_dict[sort_str+line.strip()] = val
            #The input lines and some of the spacing need empty strings
        # as their keys
        else:
            ret_dict[sort_str+line.strip()] = """"
    return ret_dict

# Helper function to compare two sets of strings
def compare_strings(student_output_list, expected_output_list):
    num_matches = 0
    #Make a lookup table for the expected lines based on the
    #    number output that they should be ignoring spaces
    expected_lines = sorted(expected_output_list)
    #Iterate through the student output
    for num,line in enumerate(sorted(student_output_list)):
        # Make an expected output from the expected output dictionary
        exp = expected_lines[num][3:]+str(expected_output_list[expected_lines[num]])
        print(""Line {}"".format(num),end=' ')
        #check if the line is in the output list
        if line in expected_output_list:
            
            # if the key is a float do a number comparison
            if isinstance(student_output_list[line],float):
                if ""contrib"" in line:
                    contr_diff = abs(expected_output_list[line] - student_output_list[line])
                    if contr_diff > 0.001:
                        print(""INCORRECT the value for {} {} does not match"".format(line[3:],student_output_list[line]))
                        print(""Expected: ""+ exp)
                    else:
                        print(""CORRECT"")
                        num_matches +=1
                elif ""greater"" in line:
                    if expected_output_list[line]-1 <= student_output_list[line] <= expected_output_list[line]+1:
                        print(""CORRECT"")
                        num_matches += 1
                    else:
                        print(""INCORRECT the value for {} $ {} is off by more than 1"".format(line[3:],student_output_list[line]))
                        print(""Expected: ""+ expected_lines[num][3:]+ "" $ "" +str(expected_output_list[expected_lines[num]]))
                elif expected_output_list[line]-1 <= student_output_list[line] <= expected_output_list[line]+1:
                    print(""CORRECT"")
                    num_matches +=1
                else:
                    print(""INCORRECT the value for {} {} is off by more than 1"".format(line[3:],student_output_list[line]))
                    print(""Expected: ""+ exp)
            #string matching
            elif student_output_list[line] == expected_output_list[line]:
                    print(""CORRECT"")
                    num_matches += 1
            else:
                print(""INCORRECT (Expected: '{}')"".format(exp))
                print(""Is there a mispelling?       (Saw: '{} {}')"".format(line[3:],student_output_list[line]))
        #Found a line that should not be included in the output
        else:          
            print(""INCORRECT (Unexpected Line: '{} {}')"".format(line[3:],student_output_list[line]))
            if ""greater"" in exp:
                print(""Expected: ""+ expected_lines[num][3:]+ "" $ "" +str(expected_output_list[expected_lines[num]]))
            else:
                print(""Expected: ""+ exp)
    
    print(num_matches, ""out of"", len(expected_output_list), ""lines match"")
    return num_matches


# Runs the Python script and sees if it passes the test(s)
def test_passed():
    #the input values for each of the 6 possible test cases
    test_tuples = ((21,20,78,.15,.06),(21,20,78,.01,.06),(21,25,70,.01,.05),(27,20,64,0.02,0.04),(25,15,85,0.01,0.05),(24,18,60,.05,.04))
    
    # Chooses the first four items from a random permutation
    # of the six test cases
    test_order = random.choice(tuple(permutations(range(len(test_tuples)))))[0:4]
    score = 0
    
    for i in test_order:
        print(""--------------------------"")
        print(""Test {} of {}"".format((i+1),len(test_tuples)))
        print(""--------------------------"")
        
        # Runs the Script
        output, error_message = autograder.run_script(""pex1.py"",
                                                      [
                                                       test_tuples[i][0],
                                                       test_tuples[i][1],
                                                       test_tuples[i][2],
                                                       test_tuples[i][3],
                                                       test_tuples[i][4]
                                                      ])
        _parsed_output = parse_student_output(output.strip().split(""\n""))
        # Checks to See if the Program Passed the Test
        num_lines_match = compare_strings(_parsed_output,
                                          answers[i])
        num_lines_expected = len(answers[i])
        #Adds a static 25% for each of the 4 test cases
        if num_lines_match == num_lines_expected:
            score += 25
            print(""\nCORRECT\n"")
        else:
            score += round((num_lines_match / num_lines_expected) * 25, 1)
            print(
'''
Try Again
One or more lines is incorrect for the following test case:
Commission Age: {},
Years Served: {},
Death Age: {},
TSP Contribution: {},
Average Return: {}'''.format(test_tuples[i][0],
                                 test_tuples[i][1],
                                 test_tuples[i][2],
                                 test_tuples[i][3],
                                 test_tuples[i][4]))
    
    return score



# Testbench (to be run in an IDE)
if __name__ == '__main__':    
    result = test_passed()
    print(""Unit Test Returned:"", result, ""of 100 points."")

#   Optional code for generating more test cases
#     output, error_message = autograder.run_script(""pex1.py"",(24,18,60,.05,.04))
#     _parsed_output = parse_student_output(output.strip().split(""\n""))
#     print(_parsed_output)
#     for k,v in _parsed_output.items():
#         print(k,v)
#


# --------------------------------------------------
# Downloaded from https://www.autograder.net
# --------------------------------------------------",100,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,lsn9_practice4,2,lab,0,"<div>
<p><strong>PROBLEM STATEMENT:<br /></strong>Write a program that asks the user for the area of three plots of land.</p>
<ul>
<li>The first area will be provided to you in ACRES</li>
<li>The second area will be provided to you in SQUARE MILES (1 Acre = 0.0015625 Sq Miles)</li>
<li>The third area will be provided to you in SQUARE KILOMETERS</li>
</ul>
<p>Your program will output ""Plot X is the biggest"", replacing X with either a 1, 2, or 3 depending on if the first, second, or third plot of land is the biggest, respectively. For this problem, you may assume that the plots are all different sizes (e.g., no two plots will be the same size)</p>
<p><strong>NOTES:</strong></p>
<ul>
<li><strong>1 acre = 0.0015625 square miles</strong></li>
<li><strong>1 sq kilometer = 0.386102 square miles</strong></li>
</ul>
<p><strong>EXAMPLES:</strong></p>
<table border=""1"" width=""1"">
<tbody>
<tr>
<td><strong>EXAMPLE 1</strong></td>
<td><strong>EXAMPLE 2</strong></td>
</tr>
<tr>
<td><strong>Inputs</strong></td>
<td>
<p>35<br />0.25<br />1</p>
</td>
<td>
<p>150<br />1<br />2.2</p>
</td>
</tr>
<tr>
<td><strong>Expected Output</strong></td>
<td>Plot 3 is the biggest</td>
<td>Plot 2 is the biggest</td>
</tr>
</tbody>
</table>
</div>","from cs110 import autograder
import random, math

num_tests_passed = 0
num_tests_run = 0

def solution(area_1, area_2, area_3):
    area_1 = area_1 * 0.0015625
    area_3 = area_3 * 0.386102

    if area_1 > area_2 and area_1 > area_3:
        return ""Plot 1 is the biggest""
    elif area_2 > area_1 and area_2 > area_3:
        return ""Plot 2 is the biggest""
    elif area_3 > area_1 and area_3 > area_2:
        return ""Plot 3 is the biggest""
    
    return ""This should never return""

def run_test(area1, area2, area3):
    global num_tests_run, num_tests_passed
    
    num_tests_run += 1
    expected_output = solution(area1, area2, area3)
        
    print(""--------------------------------------------"")
    print(""Comparing %1.1f acres, %1.1f sq miles, and %1.1f sq km"" % (area1, area2, area3))
    print(""--------------------------------------------"")
    output, error_message = autograder.run_script(""lsn9_practice4.py"", [area1, area2, area3])
    
    if output.strip() == expected_output:
        print(""CORRECT!\n"")
        num_tests_passed += 1
    else:
        print(""INCORRECT. Expected:"", expected_output)
        print(""\n"")

# Runs the Python script and sees if it passes the test(s)
def test_passed():
    run_test(random.uniform(100, 1000), random.uniform(0.1, 2.0), random.uniform(0.1, 5.0))
    run_test(random.uniform(100, 1000), random.uniform(0.1, 2.0), random.uniform(0.1, 5.0))
    run_test(random.uniform(100, 1000), random.uniform(0.1, 2.0), random.uniform(0.1, 5.0))

    return round(num_tests_passed * (100 / num_tests_run), 1)

        
# Runs your code in an IDE (for testing purposes)
if __name__ == '__main__':    
    result = test_passed()
    print(""Unit Test Returned:"", result)








",100,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,lsn9_practice3,2,lab,0,"<div>
<p><strong>PROBLEM STATEMENT:<br /></strong>Write a program that asks the user for the price of an item in US dollars / cents. Then calculate and print out the equivalent price of the item in:</p>
<ul>
<li>
<ul>
<li>British Pounds (1.25 USD per Pound)</li>
<li>Korean Won (1 Won == 0.00083 USD)</li>
<li>Mexican Pesos (1 Peso == 53.81 Won)</li>
</ul>
</li>
</ul>
<p>Print each currency on a separate line.</p>
</div>","from cs110 import autograder
import random, math

# Runs the Python script and sees if it passes the test(s)
def test_passed():
    score = 0
    
    dollar_amount = round(random.uniform(1.00, 1000.00), 2)
    pound_amount = dollar_amount / 1.25
    won_amount = dollar_amount / 0.00083
    peso_amount = won_amount / 53.81
    
    output, error_message = autograder.run_script(""lsn9_practice3.py"", [dollar_amount])   
    lines = output.split('\n')
    
    if len(lines) > 0 and autograder.equals(lines[0], pound_amount):
        print(""Correct Pound Conversion"")
        score += 33
    else:
        print(""Incorrect Pound Conversion.  Expected"", pound_amount)
        
    if len(lines) > 1 and autograder.equals(lines[1], won_amount):
        print(""Correct Won Conversion"")
        score += 33
    else:
        print(""Incorrect Won Conversion.  Expected"", won_amount)
        
    if len(lines) > 2 and autograder.equals(lines[2], peso_amount):
        print(""Correct Peso Conversion"")
        score += 34
    else:
        print(""Incorrect Peso Conversion.  Expected"", peso_amount)
    
    return score
        
        
# Runs your code in an IDE (for testing purposes)
if __name__ == '__main__':    
    result = test_passed()
    print(""Unit Test Returned:"", result)







",100,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,lsn9_practice2,2,lab,0,"<p><strong>PROBLEM STATEMENT:<br></strong>You have been provided with a program that gets two (x, y) coordinates from the user.&nbsp; Write a program that calculates the distance between these two points, and prints them out.</p>
<p>HINT:&nbsp; You will have to use the math module.</p>","from cs110 import autograder
import random, math

num_tests_passed = 0
num_tests_run = 0

def run_test():
    global num_tests_run, num_tests_passed
    
    x1 = round(random.uniform(-10, 10), 1)
    y1 = round(random.uniform(-10, 10), 1)
    x2 = round(random.uniform(-10, 10), 1)
    y2 = round(random.uniform(-10, 10), 1)
    
    num_tests_run += 1
    solution = math.sqrt(abs(x1-x2)**2 + abs(y1-y2)**2)
    
    print(""--------------------------------------------"")
    print(""Calculating distance between (%1.1f, %1.1f) and (%1.1f, %1.1f)"" % (x1, y1, x2, y2))
    print(""--------------------------------------------"")
    output, error_message = autograder.run_script(""lsn9_practice2.py"", [x1, y1, x2, y2], False)
    print(""Your Output:"", output.strip())
    
    if autograder.equals(output, solution):
        print(""CORRECT!\n"")
        num_tests_passed += 1
    else:
        print(""INCORRECT"")    
        print(""Expected:"", solution)
        print(""\n"")

# Runs the Python script and sees if it passes the test(s)
def test_passed():
    run_test()
    run_test()

    return round(num_tests_passed * (100 / num_tests_run), 1)

        
# Runs your code in an IDE (for testing purposes)
if __name__ == '__main__':    
    result = test_passed()
    print(""Unit Test Returned:"", result)










# --------------------------------------------------
# Downloaded from https://www.autograder.net
# --------------------------------------------------",100,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,lsn9_practice1,2,lab,0,<p><strong>PROBLEM STATEMENT:<br></strong>You have been provided with a program that prints out the class year.&nbsp; Write the approrpriate input statement above this line to make this program work.</p>,"from cs110 import autograder
import random, math

num_tests_passed = 0
num_tests_run = 0

def run_test(class_year):
    global num_tests_run, num_tests_passed
    
    num_tests_run += 1
    solution = ""Members of the class of "" + str(class_year) + "" arrived at USAFA in "" + str(class_year - 4)
    
    print(""--------------------------------------------"")
    print(""Testing Class Year ="", class_year)
    print(""--------------------------------------------"")
    output, error_message = autograder.run_script(""lsn9_practice1.py"", [class_year], False)
        
    if output.strip() == solution:
        print(""SUCCESS!\n"")
        num_tests_passed += 1
    else:
        print(""INCORRECT"")
        print(""Your Output:"", output.strip())
        print(""Expected:"", solution)
        if "".0"" in output.strip():
            print(""*** HINT:  Is year a floating point number? ***"")
        print(""\n"")

# Runs the Python script and sees if it passes the test(s)
def test_passed():
    run_test(random.randint(1959, 2024))
    run_test(random.randint(1959, 2024))

    return round(num_tests_passed * (100 / num_tests_run), 1)

        
# Runs your code in an IDE (for testing purposes)
if __name__ == '__main__':    
    result = test_passed()
    print(""Unit Test Returned:"", result)







",100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
