,problem_id,prompts,code
0,a3_3_animals,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.


**PROBLEM STATEMENT:  
** You have been provided with a list called `list_of_animals`. Write a
program that prints out each of the items in this list (one item per line).



**EXAMPLE:  
** If, for example, the list contained the items: ""A"", ""B"", ""C""

Your program should print:

    
    
    A  
    B  
    C



**NOTE:**

  * You must use a loop to complete this task. 





Please build your solution based on the following skeleton code: :
# AUTOGRADER IMPORT REMOVED

# --------------------------------------------------------------
# Assessment #3, Problem 3
# --------------------------------------------------------------

# This list is being provided to you.  DO NOT TOUCH!
list_of_animals = ['Tiger', 'Deer', 'Zebra', 'Elephant', 'Swordfish', 'Giraffe', 'Sloth']

#Your code goes here.
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
# AUTOGRADER IMPORT REMOVED

# --------------------------------------------------------------
# Assessment #3, Problem 3
# --------------------------------------------------------------

# This list is being provided to you.  DO NOT TOUCH!
list_of_animals = ['Tiger', 'Deer', 'Zebra', 'Elephant', 'Swordfish', 'Giraffe', 'Sloth']

#Your code goes here.
for animal in list_of_animals:
    print(animal)
"
1,a3_1_cargo,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.


**PROBLEM STATEMENT:  
**

You have been provided with a list called `list_of_cargo_planes`. Write a
program that prints a single, specified plane from the list. Your program
shall take a number via user input used to identify which plane to print. For
example, if the user types a 3, you should print out the third item.



**NOTE:**

  * You may assume that the user will always enter a value that ""should"" exist within the list (e.g., the user will not enter 100 when the list only contains 5 elements)





Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
list_of_cargo_planes = [""Boeing 747-8F"", ""Boeing 747-400ERF"", ""Boeing 747-400F"", ""Airbus A330-200F"", ""Boeing 767-300F"", ""Boeing 777F""]

index = int(input(""Enter the index of plane you want to print: ""))

print(list_of_cargo_planes[index-1])
"
2,a3_3_games,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.


**PROBLEM STATEMENT:  
** You have been provided with a list called `list_of_games`. Write a program
that prints out each of the items in this list (one item per line).



**EXAMPLE:  
** If, for example, the list contained the items: ""A"", ""B"", ""C""

Your program should print:

    
    
    A  
    B  
    C



**NOTE:**

  * You must use a loop to complete this task. 





Please build your solution based on the following skeleton code: :
# AUTOGRADER IMPORT REMOVED

# --------------------------------------------------------------
# Assessment #3, Problem 3
# --------------------------------------------------------------

# This list is being provided to you.  DO NOT TOUCH!
list_of_games = ['Monopoly', 'Risk', 'Clue', 'Chess', 'Operation', 'Jenga', 'Jumanji']

#Your code goes here.
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
# AUTOGRADER IMPORT REMOVED

# --------------------------------------------------------------
# Assessment #3, Problem 3
# --------------------------------------------------------------

# This list is being provided to you.  DO NOT TOUCH!
list_of_games = ['Monopoly', 'Risk', 'Clue', 'Chess', 'Operation', 'Jenga', 'Jumanji']

# Your code goes here.
for game in list_of_games:
    print(game)
"
3,a3_4_heights,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.


**PROBLEM STATEMENT:  
** You have been provided with a list called list_of_heights. Write a program
that prints out the range ( _i.e.,  _the difference between the max and min
height)



**EXAMPLE:  
** If, for example, the list contained the values: 53, 60, 65

Your program should print:

    
    
    12







Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
list_of_heights = [53, 60, 65]

height_range = max(list_of_heights) - min(list_of_heights)

print(height_range)
"
4,lsn9_practice4,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** Write a program that asks the user for the area of three plots of land.

  * The first area will be provided to you in ACRES
  * The second area will be provided to you in SQUARE MILES (1 Acre = 0.0015625 Sq Miles)
  * The third area will be provided to you in SQUARE KILOMETERS

Your program will output ""Plot X is the biggest"", replacing X with either a 1,
2, or 3 depending on if the first, second, or third plot of land is the
biggest, respectively. For this problem, you may assume that the plots are all
different sizes (e.g., no two plots will be the same size)

**NOTES:**

  * **1 acre = 0.0015625 square miles**
  * **1 sq kilometer = 0.386102 square miles**

**EXAMPLES:**

**EXAMPLE 1** | **EXAMPLE 2**  
---|---  
**Inputs** |

35  
0.25  
1

|

150  
1  
2.2  
  
**Expected Output** | Plot 3 is the biggest | Plot 2 is the biggest



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
area1 = float(input(""Enter the area of the first plot in acres:""))
area2 = float(input(""Enter the area of the second plot in square miles:""))
area3 = float(input(""Enter the area of the third plot in square kilometers:""))

# Converts all areas to square miles
area1_sq_miles = area1 * 0.0015625
area3_sq_miles = area3 * 0.386102

# Determine the biggest plot
if area1_sq_miles > area2 and area1_sq_miles > area3_sq_miles:
    print(""Plot 1 is the biggest"")
elif area2 > area1_sq_miles and area2 > area3_sq_miles:
    print(""Plot 2 is the biggest"")
else:
    print(""Plot 3 is the biggest"")
"
5,lsn9_practice3,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** Write a program that asks the user for the price of an item in US dollars /
cents. Then calculate and print out the equivalent price of the item in:

  *     * British Pounds (1.25 USD per Pound)
    * Korean Won (1 Won == 0.00083 USD)
    * Mexican Pesos (1 Peso == 53.81 Won)

Print each currency on a separate line.



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.",
6,lsn9_practice2,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** You have been provided with a program that gets two (x, y) coordinates from
the user.  Write a program that calculates the distance between these two
points, and prints them out.

HINT:  You will have to use the math module.



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
import math

x1, y1 = map(float, input(""Enter the first point (x1, y1): "").split())
x2, y2 = map(float, input(""Enter the second point (x2, y2): "").split())

distance = math.sqrt((x2-x1)**2 + (y2-y1)**2)

print(""The distance between the points is: "", distance)
"
7,lsn9_practice1,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** You have been provided with a program that prints out the class year.
Write the approrpriate input statement above this line to make this program
work.



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
class_year = input(""Please enter your class year: "")
print (""You entered: "", class_year)
"
8,lsn8_uod,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
**

You've been asked to develop a tool to help identify the uniform of the day,
based on temperature and wind speed.

The command center has provided the following table for guidance:

| Temperature  
---|---  
Wind Speed |  | <40 | 40 | >40 and <60 | 60 | >60  
<15 | Parkas | A-Jackets | A-Jackets | A-Jackets | Blues  
15 | ABUs | ABUs | Parkas | Parkas | Blues  
>15 | ABUs | ABUs | Parkas | Parkas | A-Jackets  
  
Create a Python program that first gets the temperature (in degrees
Fahrenheit) and then the wind speed (in knots) from the user. You may assume
that all inputs are non-negative numbers.

It should then output the correct response, as described above.



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
def uniform_of_the_day(temp, wind_speed):
  if temp < 15 or wind_speed > 60:
      uniform = ""Parkas""
  elif temp < 40:
      uniform = ""A-Jackets""
  elif temp >= 40 and temp < 60:
      uniform = ""A-Jackets""
  elif temp >= 60:
      uniform = ""Blues""
  elif wind_speed < 15:
      uniform = ""A-Jackets""
  elif wind_speed >= 15 and wind_speed < 40:
      uniform = ""ABUs""
  elif wind_speed >= 40 and wind_speed < 60:
      uniform = ""Parkas""
  elif wind_speed >= 60:
      uniform = ""A-Jackets""
  else:
      uniform = ""Blues""
  return uniform

temp =           float(input(""Please input the temperature in degrees Fahrenheit.\n""))
wind_speed =     float(input(""Please input the wind speed in knots.\n""))
print(""The uniform of the day is "" + uniform_of_the_day(temp, wind_speed) + ""."")
"
9,lsn8_speeding,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming.
**PROBLEM STATEMENT:  
** Write a program that gets a speed (in miles per hour). You may assume that
all inputs are non-negative numbers.

It should output the kind of ticket a police officer should give the driver
(according to the table below).

Speed (mph) | <= 65 | >65 and <= 70 | >70 and <= 75 | > 75 and <= 80 | > 80  
---|---|---|---|---|---  
Ticket | No Ticket | Warning | Speeding | Reckless Driving | Reckless
Endangerment  
  
**EXAMPLES:**

| Example 1 | Example 2 | Example 3 | Example 4 | Example 5  
---|---|---|---|---|---  
Input | 48 | 68 | 72 | 78 | 136  
Expected Output  | No Ticket | Warning | Speeding | Reckless Driving |
Reckless Endangerment



Please build your solution based on the following skeleton code: :
nan
The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. The skeleton code should be included in your answer.","
def ticket(speed):
    if speed <= 65:
        return 'No Ticket'
    elif speed <= 70:
        return 'Warning'
    elif speed <= 75:
        return 'Speeding'
    elif speed <= 80:
        return 'Reckless Driving'
    else:
        return 'Reckless Endangerment'
"
